,dfn_seed,curr_inflow_rate,curr_diffusion_coef,curr_porosity,curr_gypsum_rate_constant,curr_calcite_rate_constant,curr_gypsum_surface_area,curr_calcite_surface_area,dfn_p32,dfn_volume,backbone_volume,backbone_p32,final_gypsum,final_calcite,Pe,Da_1_gypsum,Da_2_gypsum,Da_1_calcite,Da_2_calcite,tau,max_calcite,min_gypsum
0,12987.0,-4.208884688604,-11.0326828932,0.45,-2.932103049886,-4.973264591175,2431.39426542,4.139926737128,0.73334176,0.073334176,0.072365403,0.7236540300000001,0.0,405.069386,14811044.637621189,0.0063570644128158335,94154.76478244843,2.8592949422805745e-05,423.49145022242084,3.77608039769166e-05,540.389366,0.0
0,12208.0,-7.905112491424,-7.807100200604,0.21,-4.146000170457,-8.668867321977,1450.867672989,2.142191221108,0.74607761,0.074607761,0.073866221,0.73866221,53.623957,818.053029,3.7998671610099204,0.9007288539141325,3.422649992962414,1.3362595099491905e-05,5.077608630443138e-05,0.19087393444298498,818.053029,53.623957
0,33060.0,-2.628709071061,-6.420005179298,0.21,-7.885666266499,-8.093027335588,3793.906328599,2.204247832831,0.70826754,0.07082675399999998,0.07082675399999999,0.70826754,0.0,0.324957861,29449.424586129473,8.68009660615089e-10,2.5562385040315905e-05,2.662731494253069e-10,7.84159103331176e-06,9.588629473974852e-07,3.50096786,0.0
0,51330.0,-3.572250880888,-8.639782535776,0.29,-3.301054761029,-6.968611118161,2288.809762406,3.220126843116,0.71630259,0.071630259,0.07064738900000002,0.70647389,0.0,134.79737,402840.99222034967,0.000404442305315931,162.92593956935522,4.299956929360967e-08,0.0173219891592854,8.5152524841419e-06,603.200025,0.0
0,24990.0,-7.852991319774,-7.534234269805,0.48,-6.973852271317,-5.830533750935,4138.079700726,2.639090470944,0.7054319299999999,0.070543193,0.067383239,0.6738323900000002,44.0702919,495.366871,1.0000039435426002,0.002714205619164155,0.0027142163227496406,0.01866917604804121,0.018669249670732267,0.16006506685279062,495.366871,44.0702919
0,8160.0,-4.990553546038,-11.33782922281,0.29,-6.129448974218,-4.86235382514,3824.356087059,3.03981505145,0.7503300000000002,0.07503300000000002,0.07080170999999998,0.7080171,1.69819538,687.300507,7671453.887466473,1.5731315065427387e-05,120.68205811363282,0.00014388783022804214,1103.8288545620298,0.00023369853196897764,695.22751,1.69819538
0,28670.0,-4.055712237832,-7.008312018574,0.12,-4.251790295852,-8.679127426625,2217.950688596,3.213959363077,0.7575576499999999,0.075755765,0.06900717600000002,0.69007176,1.84951844,489.367431,7471.68466587864,5.706445153364672e-05,0.42636758749072307,1.054854116705796e-09,7.881537328529655e-06,2.7414356323315907e-05,518.089254,1.84951844
0,21576.0,-4.150691421202,-8.342482198874,0.11,-4.819778060934,-5.071271355929,627.9901890759,3.758497690414,0.72228639,0.07222863900000001,0.067926896,0.67926896,2.01772315,702.716513,141383.29293155528,1.7602262969741677e-05,2.4886659017092554,4.877969665873047e-06,0.6896634141813698,3.2527522058725665e-05,840.060588,2.01468511
0,42291.0,-8.172316621574,-6.950691997789,0.39,-7.125684384489,-5.358729495782,3325.646837683,3.472702963851,0.6584805100000002,0.065848051,0.058911031,0.58911031,100.635177,478.232573,0.15392556953609982,0.003243092258682805,0.000499194822975867,0.09377305774273184,0.014434071320191571,0.3116805301628015,478.232573,100.635177
0,43648.0,-5.257921870402,-10.92689073006,0.34,-6.468689605562,-8.264190868918,715.7476406748,4.266507020264,0.7529914499999999,0.075299145,0.07196010600000001,0.7196010600000001,0.888509261,676.22889,1372429.1779478944,1.563052773241598e-05,21.45179232669143,1.2377594859881823e-07,0.16987372338519693,0.0004340722701191313,680.68482,0.888509261
0,8385.0,-6.803794145673,-7.70126562905,0.29,-5.87111271373,-5.836871070934,3551.73352409,2.784699046405,0.72995004,0.072995004,0.07201907300000002,0.72019073,0.212894487,716.330689,27.231620459961423,0.0018549913520549764,0.0505144204556718,0.0009925386272842472,0.02702843519005573,0.014788952351170967,716.330689,0.207662877
0,5369.0,-7.654746856852,-6.89346773512,0.42,-4.697299745804,-7.707636442296,513.0858161896,2.491498517235,0.7353141999999999,0.07353142,0.06790565400000001,0.6790565399999999,48.211276,672.794679,0.4125452469682035,0.2844191674893849,0.11733577569439912,0.00013733652357065474,5.665753003421026e-05,0.10569877086557412,672.794679,47.0240761
0,32357.0,-3.291306440658,-8.35896837321,0.16,-5.565069359464,-4.668896237931,3219.045733642,3.722565207069,0.7584092299999998,0.075840923,0.074039025,0.74039025,0.0,140.625349,730368.3580870155,6.36237881389632e-07,0.4646880167833068,2.4771740978538326e-06,1.8092495785451876,4.721284569570638e-06,840.089972,0.0
0,32562.0,-3.537958551272,-10.71749790716,0.44,-4.118309324985,-6.691456834519,932.830658845,2.032665966351,0.7212863399999999,0.072128634,0.067438173,0.6743817299999999,0.0340431067,109.386356,34362652.433967866,8.637028689932294e-05,2967.9121493435227,1.1412498621690137e-07,3.921637235402755,7.923487662098798e-06,263.260298,0.0304821688
0,17010.0,-5.208298868897,-6.670612041037,0.2,-4.23947735318,-4.943997984869,2051.245108117,2.26506877248,0.7566908099999999,0.07566908100000003,0.074769387,0.74769387,0.0,797.854954,144.9716815790754,0.0013903174408880234,0.20155665733425351,0.0001357554346425073,0.019680693643622554,0.0003891055771492317,807.70491,0.0
0,59296.0,-2.953308703267,-9.249379380361,0.33,-4.983525890809,-8.6489768818,529.9604126413,3.18825358223,0.74751725,0.074751725,0.07315795500000001,0.73157955,0.0,78.6222325,5991792.116295302,2.299107148508825e-06,13.775772086953348,2.4562473897598157e-10,0.0014717323745633776,2.136879583265794e-06,92.7626501,0.0
0,29044.0,-8.984103371094,-8.910769044087,0.06,-7.715146828206,-4.981495339682,846.4601355785,3.882648910564,0.65511482,0.06551148200000001,0.060077451000000004,0.6007745099999999,678.260842,159.179872,14.077139767611081,0.0008324731839914782,0.011718841363836253,0.22293878331754186,3.138340412382198,2.0103465203516397,159.179872,678.260842
